gender,season,wrestler_1,team_1,wrestler_2,team_2,weight,dropped_date,dropped_event,dropped_result,kept_date,kept_event,kept_result
boys,2023,Joey Bratcher,Ohio County,Dylan Benham,Meade County,113,2022-12-21,vs. Ohio County,Fall 0:00,2022-12-20,vs. Meade County,Fall 2:40
boys,2023,Petey Graham,Ohio County,Devin Phillips,Meade County,144,2022-12-21,vs. Ohio County,Fall 0:00,2022-12-20,vs. Meade County,Fall 0:34
boys,2023,Garrison Messer,Ohio County,Lucas Stull,Meade County,138,2022-12-21,vs. Ohio County,Fall 0:00,2022-12-20,vs. Meade County,Fall 1:01
boys,2023,Gunnar Arnold,Ohio County,Braylen Pruitt,Meade County,157,2022-12-21,vs. Ohio County,Fall 0:00,2022-12-20,vs. Meade County,Fall 1:45
boys,2023,Grayson Shelby,Ohio County,Elijah St. John,Meade County,150,2022-12-21,vs. Ohio County,Fall 0:00,2022-12-20,vs. Meade County,Fall 4:45
boys,2023,Isaiah Cook,Ohio County,Chase Sanders,Meade County,285,2022-12-21,vs. Ohio County,Fall 0:00,2022-12-20,vs. Meade County,Fall 1:41
boys,2023,Jayden Pointer,Boone County,Emauryon Arnold,Holmes,285,2023-02-02,vs. Holmes,Fall 0:00,2023-02-01,vs. Holmes,Fall 0:52
boys,2023,Dylan Smith,Boone County,Ein Gipson,Holmes,113,2023-02-02,vs. Holmes,Fall 0:00,2023-02-01,vs. Holmes,Fall 3:36
boys,2023,Gavin Smith,Boone County,Reese Hill,Holmes,132,2023-02-02,vs. Holmes,Dec 10-8,2023-02-01,vs. Holmes,Dec 10-8
boys,2023,Jordan Johnson,Boone County,Robert Cameron,Holmes,144,2023-02-02,vs. Holmes,Fall 0:00,2023-02-01,vs. Holmes,Fall 0:39
boys,2023,Austin Balliett,Boone County,Alex Floyd,Holmes,157,2023-02-02,vs. Holmes,Fall 0:00,2023-02-01,vs. Holmes,Fall 1:15
boys,2023,Andrew Leibfarth,Boone County,Lucas Walker,Holmes,190,2023-02-02,vs. Holmes,Fall 0:00,2023-02-01,vs. Holmes,Fall 1:04
boys,2023,Mariah Estes,Boone County,Thomas Burke,Holmes,215,2023-02-02,vs. Holmes,Fall 0:00,2023-02-01,vs. Holmes,Fall 1:10
boys,2023,Judah Carey,Boyle County,Petey Graham,Ohio County,144,2022-12-21,vs. Ohio County,Fall 0:00,2022-12-20,vs. Boyle County,Fall 3:51
boys,2023,Mason Damis,Boyle County,Joey Bratcher,Ohio County,106,2022-12-21,vs. Ohio County,Fall 0:00,2022-12-20,vs. Boyle County,Fall 2:28
boys,2023,Kaygen Roberts,Boyle County,Kaden Coy,Ohio County,120,2022-12-21,vs. Ohio County,Fall 0:00,2022-12-20,vs. Boyle County,Fall 2:22
boys,2023,Micah Thompson,Boyle County,Mason Taylor,Ohio County,126,2022-12-21,vs. Ohio County,Fall 0:00,2022-12-20,vs. Boyle County,Fall 1:50
boys,2023,Evan Browning,Boyle County,Garrison Messer,Ohio County,138,2022-12-21,vs. Ohio County,MD 10-0,2022-12-20,vs. Boyle County,MD 10-0
boys,2023,Jaimen Carey,Boyle County,Grayson Shelby,Ohio County,150,2022-12-21,vs. Ohio County,Dec 9-6,2022-12-20,vs. Boyle County,Dec 9-6
boys,2023,Isaiah Cook,Ohio County,Capone Smith,Boyle County,285,2022-12-21,vs. Ohio County,Fall 0:00,2022-12-20,vs. Boyle County,Fall 1:33
boys,2023,Gaven Pugh,Simon Kenton,Ethan Sentelle,Great Crossing High School,150,2023-01-10,vs. Great Crossing High School,Fall 0:00,2023-01-11,vs. Simon Kenton,Fall 1:49
boys,2023,Blake Taylor,Simon Kenton,Nicholas Armentano,Great Crossing High School,138,2023-01-10,vs. Great Crossing High School,Fall 0:00,2023-01-11,vs. Simon Kenton,Fall 1:04
boys,2023,Braydan Blevins,Simon Kenton,Ren Birk,Great Crossing High School,113,2023-01-11,vs. Simon Kenton,Dec 3-0,2023-01-10,vs. Great Crossing High School,Dec 3-0
boys,2023,Benjamin Woosley,Simon Kenton,Trent Cano,Great Crossing High School,120,2023-01-11,vs. Simon Kenton,Dec 5-1,2023-01-10,vs. Great Crossing High School,Dec 5-1
boys,2023,Elijah Mullins,Simon Kenton,Augustus Roberts,Great Crossing High School,132,2023-01-10,vs. Great Crossing High School,Fall 0:00,2023-01-11,vs. Simon Kenton,Fall 1:24
boys,2023,Nathan Johnson,Simon Kenton,Clayton Shaddix,Great Crossing High School,144,2023-01-10,vs. Great Crossing High School,Fall 0:00,2023-01-11,vs. Simon Kenton,Fall 0:11
boys,2023,Parker Smith,Simon Kenton,Aiden Butler,Great Crossing High School,157,2023-01-10,vs. Great Crossing High School,Fall 0:00,2023-01-11,vs. Simon Kenton,Fall 1:01
boys,2023,Haydn Walters,Simon Kenton,Jesse Shaddix,Great Crossing High School,190,2023-01-11,vs. Simon Kenton,Dec 3-0,2023-01-10,vs. Great Crossing High School,Dec 3-0
boys,2023,Joshua Brophy,Simon Kenton,Joaquin Solis,Great Crossing High School,215,2023-01-11,vs. Simon Kenton,Dec 4-1,2023-01-10,vs. Great Crossing High School,Dec 4-1
boys,2023,Ethan Waid,Simon Kenton,Jacob Wilson,Great Crossing High School,285,2023-01-10,vs. Great Crossing High School,Fall 0:00,2023-01-11,vs. Simon Kenton,Fall 1:41
boys,2023,Kayleen Kopatz,Male,Lillian Hoaglin,North Hardin,100w,2022-12-20,Fern Creek Ladies Invitational,Fall 5:45,2022-12-21,Fern Creek Gladiator,Fall 5:45
boys,2023,Kayleen Kopatz,Male,Zoe Maddox,North Hardin,100w,2022-12-20,Fern Creek Ladies Invitational,Fall 0:50,2022-12-21,Fern Creek Gladiator,Fall 0:50
boys,2023,Dakota Phillips,Boyle County,James Trzop,Nelson County,113,2022-12-20,vs. Boyle County,Fall 0:00,2022-12-21,vs. Nelson County,Fall 0:00
boys,2023,Micah Thompson,Boyle County,Gabe Lamarr,Nelson County,120,2022-12-20,vs. Boyle County,Fall 0:00,2022-12-21,vs. Nelson County,Fall 0:00
boys,2023,Diego Montoya,Boyle County,Wyatt Beahl,Nelson County,144,2022-12-20,vs. Boyle County,Fall 0:00,2022-12-21,vs. Nelson County,Fall 0:00
boys,2023,Jackson Burger,Boyle County,Lincoln Boblitt,Nelson County,165,2022-12-20,vs. Boyle County,Fall 0:00,2022-12-21,vs. Nelson County,Fall 0:00
boys,2023,Aaron Goff,Nelson County,Capone Smith,Boyle County,285,2022-12-20,vs. Boyle County,Fall 0:00,2022-12-21,vs. Nelson County,Fall 0:00
boys,2023,Micah Thompson,Boyle County,Malik Porter,Central,120,2022-12-21,vs. Central,Fall 0:00,2022-12-20,vs. Boyle County,Fall 3:00
boys,2023,Evan Browning,Boyle County,Evan Roe,Central,132,2022-12-21,vs. Central,Fall 0:00,2022-12-20,vs. Boyle County,Fall 1:00
boys,2023,Jackson Burger,Boyle County,Gregory Moore,Central,165,2022-12-21,vs. Central,Fall 0:00,2022-12-20,vs. Boyle County,Fall 1:00
boys,2023,Make Fager,Boyle County,Brayden West,Central,215,2022-12-21,vs. Central,Dec 12-6,2022-12-20,vs. Boyle County,Dec 12-6
boys,2023,Lyla Smith,Boyle County,Payton Conner,Meade County,120,2022-12-21,vs. Meade County,Fall 0:00,2022-12-20,vs. Boyle County,Fall 0:00
boys,2023,Cruz Reynolds,Boyle County,Lacey Henry,Meade County,132,2022-12-21,vs. Meade County,Fall 0:00,2022-12-20,vs. Boyle County,Fall 0:00
boys,2023,Torian Bess,Boyle County,Devin Phillips,Meade County,144,2022-12-21,vs. Meade County,Fall 0:00,2022-12-20,vs. Boyle County,Fall 0:00
boys,2023,Lucas Stull,Meade County,William Griffie,Boyle County,138,2022-12-21,vs. Meade County,Fall 0:00,2022-12-20,vs. Boyle County,Fall 0:00
boys,2023,Diego Montoya,Boyle County,Tyler Smallwood,Meade County,150,2022-12-21,vs. Meade County,Fall 0:00,2022-12-20,vs. Boyle County,Fall 0:00
boys,2023,Braylen Pruitt,Meade County,Jerome Johnson,Boyle County,165,2022-12-21,vs. Meade County,Fall 0:00,2022-12-20,vs. Boyle County,Fall 0:00
boys,2023,Jackson Burger,Boyle County,Adam Sanders,Meade County,175,2022-12-21,vs. Meade County,Fall 0:00,2022-12-20,vs. Boyle County,Fall 0:00
boys,2023,James Trzop,Nelson County,Aden Walker,North Hardin,113,2022-12-20,vs. North Hardin,Fall 0:00,2022-12-21,vs. Nelson County,Fall 0:00
boys,2023,Gabe Lamarr,Nelson County,James Hanson,North Hardin,120,2022-12-20,vs. North Hardin,Fall 0:00,2022-12-21,vs. Nelson County,Fall 0:00
boys,2023,Wyatt Beahl,Nelson County,Odysseus Springer,North Hardin,144,2022-12-20,vs. North Hardin,Fall 0:00,2022-12-21,vs. Nelson County,Fall 0:00
boys,2023,Aiden Watson,Nelson County,Braedon Herron,North Hardin,157,2022-12-20,vs. North Hardin,Fall 0:00,2022-12-21,vs. Nelson County,Fall 0:00
boys,2023,Lincoln Boblitt,Nelson County,Justice Cottrell,North Hardin,165,2022-12-20,vs. North Hardin,Fall 0:00,2022-12-21,vs. Nelson County,Fall 0:00
boys,2023,Cam Turner,Nelson County,Kaiden Boyd,North Hardin,215,2022-12-20,vs. North Hardin,Fall 0:00,2022-12-21,vs. Nelson County,Fall 0:00
boys,2023,Mason Damis,Boyle County,Ian Tucker,Wayne County,106,2022-12-21,vs. Wayne County,Dec 8-1,2022-12-20,vs. Boyle County,Dec 8-1
boys,2023,Lyla Smith,Boyle County,Donovan Hoover,Wayne County,113,2022-12-21,vs. Wayne County,Fall 0:00,2022-12-20,vs. Boyle County,Fall 1:24
boys,2023,Micah Thompson,Boyle County,Aiden Tucker,Wayne County,120,2022-12-21,vs. Wayne County,Fall 0:00,2022-12-20,vs. Boyle County,Fall 4:56
boys,2023,Ethan Masters,Boyle County,Xander McClellan,Wayne County,126,2022-12-21,vs. Wayne County,Fall 0:00,2022-12-20,vs. Boyle County,Fall 1:36
boys,2023,Jackson Burger,Boyle County,Thorin Johnson,Wayne County,165,2022-12-21,vs. Wayne County,Fall 0:00,2022-12-20,vs. Boyle County,Fall 0:48
boys,2023,Jax Crowe,Boyle County,Devin Fitzpatrick,Wayne County,190,2022-12-21,vs. Wayne County,Dec 8-7,2022-12-20,vs. Boyle County,Dec 8-7
boys,2023,Carter Smith,Wayne County,Capone Smith,Boyle County,285,2022-12-21,vs. Wayne County,Fall 0:00,2022-12-20,vs. Boyle County,Fall 3:03
