evidence,date,event,names,rounds,results
STRONG,2020-02-08,KHSAA Region 5,Cole Harrod vs AIDEN BUTLER,quarterfinals | 3rd place match,Dec 3-2 | Dec 5-2
STRONG,2020-02-15,KHSAA State Championships,Cole Nance vs Rictor Morgan,champ. round 1 | cons. round 5,Dec 6-3 | Dec 8-6
STRONG,2020-02-08,KHSAA Region 5,James Branscome vs Cameron Purvis,quarterfinals | 3rd place match,Fall 0:50 | Fall 1:14
STRONG,2020-01-25,Ft. Knox Individual,David Gerkin vs Luke Chapman,semifinals | None,Dec 7-6 | Dec 8-6
STRONG,2020-01-25,Fort Knox Invitational,Caleb Bowling vs Chrys Morales,None | cons. semis,Fall 0:15 | Fall 1:00
STRONG,2019-12-07,Fairland pools,Troy Gardner vs 11075251132,champ. round 3 | 1st place match,Fall 0:43 | Fall 1:00
STRONG,2019-12-21,Tates creek invitational,Troy Gardner vs Colin Tucker,None | None,Fall 4:12 | Fall 4:26
STRONG,2019-12-21,Tates creek invitational,Parker Williams vs Keelan Dick,None | None,Fall 0:12 | Fall 4:24
STRONG,2020-01-18,Alexander Invitational,Parker Williams vs 11004805132,round 3 | 5th place match,Fall 2:17 | Fall 1:10
STRONG,2019-12-21,Tates creek invitational,Kaleb Lovins vs Bryce Towle,None | None,Fall 2:34 | Fall 2:32
STRONG,2019-12-21,vs. Ashland Blazer,Maddie Bragg- Henderson vs Kaleb Lovins,None | None,Fall 0:48 | Fall 0:47
STRONG,2019-12-21,Tates creek invitational,Cameron Wilson vs Beckley Sam,None | None,Fall 3:03 | Fall 3:10
STRONG,2019-12-21,Tates creek invitational,Cameron Wilson vs Michael Powell,None | None,Fall 0:09 | Fall 0:21
STRONG,2019-12-21,Tates creek invitational,Cameron Wilson vs Naser Eqal,None | None,Fall 3:28 | Fall 4:26
STRONG,2019-12-21,Tates creek invitational,Cody Camp vs Bryce Elam,None | None,Fall 2:53 | Fall 2:42
