id,name,team,canon,acc,list
31270681132,A`Niyah Sullivan,Western,24-7,24-7,23-6
30203450132,Aaliyah Davis,Lafayette,28-4,27-4,27-4
31513820132,Aaliyah Mudd,Butler,6-12,7-12,6-10
30968670132,Aaralynn Boblitt,Nelson County,17-8,16-6,17-8
30284507132,Abagail Hefner,Henderson County,14-8,13-8,14-8
30115204132,Abbie Oliver,Taylor County,26-5,24-5,26-5
33702185132,Abby May,Pike County Central,0-8,0-8,0-7
30115314132,Abigail Berling,Highlands,17-10,18-10,17-10
30115322132,Abigail Edmondson,Highlands,6-15,7-15,6-15
30719561132,Abigail Staggs,Mason County,4-7,4-9,4-7
30255881132,Addison Reed,Lafayette,9-9,11-8,9-9
30115209132,Addysen Dotson,Taylor County,4-4,4-4,4-3
31218951132,Aileen Lopez Mendez,Danville,1-9,1-10,1-10
30233963132,Akela Davis,Green County,3-4,3-3,3-4
30115364132,Alayna Banks,Simon Kenton,27-13,27-13,26-12
30115346132,Alejandra Hibdon,Moore,4-7,4-8,4-7
30499268132,Alex Rhinesmith,John Hardin,24-9,25-9,23-9
30115291132,Alexandra Cortez,Henry Clay,17-18,17-19,17-17
30115578132,Alexandria McDonald,Central Hardin,11-16,12-15,12-15
30115095132,Alexis Gibson,Greenup County,13-5,12-5,13-5
30115178132,Alexis Howard,Bell County,9-5,9-3,9-4
31148202132,Aleyah Sexton,Mccreary Central,6-10,6-7,6-9
30572538132,Alissa Nolen,Boyd County,10-9,10-9,10-6
30115254132,Allison Dye,Harrison County,21-9,21-9,21-8
30397883132,Allissa Chinas-Rodriguez,Mccreary Central,28-8,24-8,27-8
30222947132,Alysa Garcia,Fort Campbell,9-19,11-20,9-19
30116218132,Alyvia Barnwell,Caldwell County,19-21,20-21,19-20
30115203132,Alyvia Cutler,Taylor County,21-12,20-12,21-12
30199711132,Amanda Kalili-Liusa,Fort Campbell,18-24,20-24,18-24
30490429132,Amber Honeycutt,Knox Central,24-5,24-5,23-5
30233961132,Amber Wilson,Green County,6-9,6-8,6-9
30255875132,Amiah Hill,Lafayette,2-3,2-3,1-3
